max = 5.695900 ; min = -0.537800

t; a_z 
606.000000; 0.932900 
608.001000; 0.932900 
610.002000; 0.937300 
612.003000; 0.931800 
614.004000; 0.941700 
616.005000; 0.936200 
620.007000; 0.937300 
622.008000; 0.940600 
624.009000; 0.934000 
626.010000; 0.939500 
628.011000; 0.934000 
632.013000; 0.937300 
640.017000; 0.937300 
642.018000; 0.941700 
644.019000; 0.936200 
646.020000; 0.940600 
648.021000; 0.936200 
650.022000; 0.936200 
651.766000; 0.941700 
655.493000; 0.936200 
657.493000; 0.937300 
659.134000; 0.934000 
661.135000; 0.937300 
663.136000; 0.931800 
667.138000; 0.940600 
671.140000; 0.931800 
673.141000; 0.938400 
679.144000; 0.930700 
681.145000; 0.930700 
683.148000; 0.930700 
685.149000; 0.932900 
687.150000; 0.927400 
691.152000; 0.931800 
693.153000; 0.929600 
695.154000; 0.929600 
701.157000; 0.939500 
705.159000; 0.929600 
708.505000; 0.936200 
710.193000; 0.928500 
711.980000; 0.929600 
715.735000; 0.926300 
717.689000; 0.930700 
719.274000; 0.927400 
722.419000; 0.930700 
723.908000; 0.930700 
727.871000; 0.935100 
729.516000; 0.930700 
731.325000; 0.930700 
732.977000; 0.932900 
736.644000; 0.924100 
740.616000; 0.932900 
744.157000; 0.929600 
746.122000; 0.929600 
747.768000; 0.935100 
749.472000; 0.930700 
750.995000; 0.930700 
755.970000; 0.924100 
759.600000; 0.931800 
761.523000; 0.926300 
763.293000; 0.926300 
767.048000; 0.932900 
768.997000; 0.937300 
770.948000; 0.931800 
772.904000; 0.934000 
776.773000; 0.898800 
780.566000; 1.077000 
782.563000; 0.733800 
784.563000; 1.111100 
786.527000; 0.796500 
788.489000; 1.097900 
790.248000; 0.775600 
792.029000; 1.017600 
794.027000; 0.908700 
795.701000; 1.117700 
797.690000; 0.798700 
799.671000; 1.073700 
801.504000; 0.805300 
803.324000; 1.084700 
805.180000; 0.780000 
807.179000; 1.035200 
809.040000; 0.799800 
810.932000; 1.050600 
812.857000; 0.819600 
814.785000; 1.056100 
816.686000; 0.774500 
818.680000; 1.019800 
820.547000; 0.939500 
824.492000; 1.004400 
826.344000; 0.855900 
828.160000; 1.068200 
830.102000; 0.792100 
831.913000; 1.097900 
833.902000; 0.761300 
835.839000; 1.077000 
837.576000; 0.787700 
839.491000; 1.124300 
841.198000; 0.791000 
843.097000; 1.078100 
844.943000; 0.808600 
846.736000; 1.064900 
848.525000; 0.842700 
850.524000; 1.079200 
852.309000; 0.846000 
857.614000; 0.930700 
861.352000; 0.924100 
865.310000; 0.927400 
867.109000; 0.930700 
870.873000; 0.924100 
874.607000; 0.929600 
876.404000; 0.927400 
878.186000; 0.928500 
880.161000; 0.927400 
885.457000; 1.432300 
887.242000; 0.573200 
889.027000; 1.159500 
890.639000; 0.750300 
894.496000; 1.008800 
896.608000; 0.884500 
898.065000; 0.943900 
899.839000; 0.733800 
908.367000; 1.507100 
919.369000; 0.308100 
923.124000; 0.997800 
925.056000; 0.774500 
927.033000; 0.961500 
928.837000; 0.587500 
934.496000; 1.152900 
936.399000; 0.766800 
943.420000; 1.030800 
946.644000; 0.923000 
948.203000; 0.924100 
950.091000; 0.786600 
951.135000; 1.075900 
952.526000; 0.795400 
954.163000; 0.992300 
956.164000; 0.693100 
958.165000; 1.001100 
960.166000; 0.953800 
962.167000; 1.011000 
965.322000; 0.784400 
967.323000; 1.204600 
971.325000; 0.880100 
973.326000; 1.027500 
977.328000; 0.792100 
979.329000; 1.081400 
981.330000; 0.821800 
983.331000; 0.939500 
987.333000; 0.736000 
989.597000; 1.056100 
992.757000; 0.826200 
994.758000; 1.046200 
994.878000; 0.818500 
996.879000; 1.095700 
998.880000; 0.755800 
1000.881000; 1.222200 
1006.884000; 0.771200 
1008.503000; 1.004400 
1009.965000; 0.924100 
1011.966000; 1.039600 
1015.634000; 0.684300 
1019.636000; 1.114400 
1021.637000; 0.819600 
1027.641000; 1.325600 
1035.645000; 0.675500 
1039.647000; 0.937300 
1041.648000; 0.849300 
1043.599000; 1.093500 
1045.588000; 1.002200 
1049.310000; 1.156200 
1051.286000; 0.978000 
1055.211000; 1.172700 
1057.208000; 1.137500 
1061.058000; 1.478500 
1073.519000; 0.351000 
1085.088000; 1.025300 
1091.091000; 0.894400 
1099.095000; 1.357500 
1105.096000; 0.817400 
1109.098000; 0.877900 
1111.099000; 0.858100 
1114.341000; 0.920800 
1121.338000; 0.782200 
1123.339000; 0.833900 
1125.917000; 0.720600 
1133.589000; 0.914200 
1135.590000; 0.894400 
1137.524000; 0.970300 
1145.295000; 0.727200 
1152.502000; 1.016500 
1156.504000; 0.890000 
1158.505000; 0.984600 
1168.511000; 0.848200 
1170.512000; 0.894400 
1173.935000; 0.830600 
1181.939000; 0.892200 
1185.941000; 0.749200 
1187.705000; 1.337700 
1188.768000; 0.557800 
1190.437000; 0.991200 
1192.901000; 0.810800 
1198.904000; 1.337700 
1202.381000; 0.909800 
1207.306000; 2.425600 
1213.309000; 2.023000 
1215.310000; 2.130800 
1219.312000; 1.665500 
1221.180000; 2.037300 
1224.888000; 0.632600 
1226.545000; 1.066000 
1229.974000; 0.836100 
1233.330000; 1.277200 
1241.083000; 0.591900 
1249.851000; 0.857000 
1251.007000; 0.821800 
1252.431000; 0.838300 
1254.387000; 0.631500 
1258.723000; 0.949400 
1263.931000; 0.873500 
1265.479000; 0.891100 
1266.758000; 0.848200 
1268.202000; 0.873500 
1270.169000; 0.860300 
1273.457000; 0.904300 
1276.035000; 0.872400 
1278.036000; 0.887800 
1280.037000; 0.877900 
1284.039000; 1.112200 
1286.040000; 0.797600 
1292.178000; 3.101000 
1296.180000; 2.872200 
1300.072000; 4.257100 
1304.003000; 3.002000 
1307.525000; 4.095400 
1313.429000; 0.793200 
1315.430000; 1.068200 
1317.431000; 0.675500 
1319.432000; 0.825100 
1321.433000; 0.732700 
1325.435000; 1.004400 
1327.436000; 0.926300 
1329.437000; 0.973600 
1333.440000; 0.854800 
1335.441000; 1.058300 
1337.442000; 0.949400 
1343.445000; 1.145200 
1351.326000; 0.789900 
1356.572000; 3.036100 
1357.614000; 2.232000 
1363.282000; 3.865500 
1370.128000; 2.845800 
1372.129000; 2.863400 
1376.131000; 0.786600 
1376.411000; 2.098900 
1382.311000; 0.489600 
1388.136000; 0.643600 
1400.819000; 1.011000 
1401.853000; 0.995600 
1403.854000; 1.017600 
1407.856000; 0.643600 
1413.779000; 1.040700 
1415.224000; 0.958200 
1418.082000; 3.601500 
1428.087000; 0.578700 
1434.662000; 1.050600 
1436.663000; 0.952700 
1438.664000; 1.069300 
1442.666000; 0.716200 
1446.668000; 0.960400 
1450.401000; 0.518200 
1453.980000; 2.591700 
1454.927000; 2.259500 
1460.829000; 4.133900 
1462.830000; 3.709300 
1466.810000; 3.957900 
1474.434000; 1.312400 
1476.430000; 1.962500 
1480.280000; 0.679900 
1483.515000; 1.028600 
1485.070000; 0.907600 
1487.071000; 0.926300 
1491.073000; 0.714000 
1501.078000; 4.161400 
1507.081000; 0.849300 
1511.083000; 3.161500 
1513.084000; 0.804200 
1516.846000; 1.085800 
1518.386000; 1.037400 
1519.794000; 1.102300 
1523.463000; 0.752500 
1526.046000; 0.940600 
1527.846000; 0.932900 
1528.277000; 0.934000 
1530.278000; 0.917500 
1534.567000; 1.066000 
1540.570000; 0.971400 
1544.261000; 1.089100 
1547.416000; 0.762400 
1548.816000; 0.876800 
1550.234000; 0.865800 
1553.391000; 0.899900 
1554.375000; 0.879000 
1555.811000; 0.914200 
1557.221000; 0.887800 
1562.895000; 0.945000 
1564.561000; 0.862500 
1566.301000; 0.869100 
1567.592000; 0.818500 
1568.831000; 0.940600 
1571.344000; 0.818500 
1576.059000; 1.084700 
1578.060000; 0.903200 
1584.098000; 0.759100 
1592.102000; 1.123200 
1595.378000; 0.705200 
1608.090000; 1.399300 
1610.016000; 1.323400 
1611.485000; 1.524700 
1618.606000; 0.610600 
1620.607000; 1.148500 
1622.608000; 1.039600 
1624.609000; 1.085800 
1628.611000; 0.734900 
1640.617000; 1.200200 
1644.620000; 0.971400 
1654.625000; 1.207900 
1658.627000; 1.031900 
1660.628000; 1.092400 
1662.629000; 1.086900 
1664.630000; 1.104500 
1670.101000; 0.610600 
1678.946000; 1.489500 
1686.950000; 0.973600 
1688.951000; 1.152900 
1694.954000; 1.111100 
1696.955000; 1.127600 
1698.507000; 1.094600 
1703.470000; 1.625900 
1706.390000; 1.157300 
1709.335000; 1.265100 
1714.795000; 1.145200 
1718.797000; 1.378400 
1720.798000; 1.309100 
1726.801000; 1.400400 
1729.186000; 1.277200 
1731.187000; 1.419100 
1733.428000; 1.011000 
1743.433000; 1.250800 
1747.436000; 1.154000 
1753.357000; 1.255200 
1755.034000; 1.215600 
1758.712000; 1.286000 
1764.050000; 1.099000 
1768.052000; 1.126500 
1776.820000; 0.902100 
1780.767000; 0.983500 
1784.444000; 0.865800 
1792.448000; 1.014300 
1794.449000; 0.949400 
1798.451000; 1.016500 
1800.452000; 1.002200 
1804.454000; 1.234300 
1806.455000; 1.205700 
1812.458000; 1.531300 
1816.460000; 1.271700 
1818.462000; 1.288200 
1826.180000; 1.029700 
1829.370000; 1.053900 
1835.062000; 0.930700 
1842.543000; 1.050600 
1843.960000; 1.036300 
1845.959000; 1.036300 
1850.200000; 1.257400 
1852.201000; 1.137500 
1858.052000; 1.343200 
1859.915000; 1.218900 
1861.786000; 1.228800 
1871.034000; 0.928500 
1874.991000; 1.019800 
1876.263000; 1.013200 
1885.420000; 1.288200 
1893.424000; 1.113300 
1897.426000; 1.150700 
1899.427000; 1.148500 
1901.428000; 1.174900 
1903.429000; 1.173800 
1911.433000; 1.432300 
1915.198000; 1.185900 
1916.805000; 1.214500 
1924.734000; 1.079200 
1926.691000; 1.111100 
1928.656000; 1.102300 
1932.307000; 1.115500 
1938.030000; 1.151800 
1942.909000; 0.893300 
1944.910000; 0.907600 
1948.912000; 0.667800 
1952.914000; 0.919700 
1956.916000; 0.906500 
1958.917000; 0.939500 
1960.918000; 0.882300 
1963.159000; 1.007700 
1964.965000; 0.860300 
1966.446000; 0.896600 
1968.447000; 0.888900 
1970.405000; 0.902100 
1972.193000; 0.874600 
1973.980000; 0.930700 
1975.893000; 0.846000 
1977.856000; 1.321200 
1979.848000; 0.903200 
1982.563000; 1.387200 
1986.565000; 0.917500 
1988.132000; 1.129800 
1991.833000; 1.014300 
1997.316000; 1.247500 
1997.507000; 1.269500 
2007.512000; 0.969200 
2009.513000; 0.972500 
2011.514000; 0.956000 
2016.397000; 1.335500 
2024.351000; 0.948300 
2031.463000; 1.298100 
2035.462000; 1.209000 
2037.427000; 1.222200 
2041.303000; 1.128700 
2043.288000; 1.149600 
2047.525000; 0.910900 
2051.517000; 1.001100 
2055.462000; 0.858100 
2061.672000; 1.262900 
2063.590000; 1.243100 
2065.579000; 1.295900 
2075.403000; 0.948300 
2081.406000; 1.097900 
2083.407000; 1.006600 
2091.235000; 1.822800 
2093.200000; 1.459800 
2095.144000; 1.649000 
2100.181000; 0.994500 
2104.178000; 1.114400 
2108.142000; 0.674400 
2118.095000; 1.605000 
2127.552000; 1.140800 
2130.523000; 1.561000 
2136.415000; 1.048400 
2138.523000; 1.415800 
2144.492000; 1.170500 
2146.489000; 1.205700 
2148.489000; 1.200200 
2152.282000; 1.270600 
2157.222000; 1.047300 
2163.146000; 1.323400 
2165.136000; 1.303600 
2170.446000; 1.738100 
2177.958000; 1.502700 
2182.561000; 4.245000 
2184.562000; 1.746900 
2186.550000; 4.316500 
2187.097000; 3.836900 
2189.098000; 4.218600 
2191.079000; 3.746700 
2193.078000; 3.971100 
2195.034000; 0.960400 
2196.854000; 3.471700 
2198.841000; 3.077900 
2200.794000; 3.424400 
2202.632000; 2.775400 
2204.619000; 3.241800 
2206.594000; 0.523700 
2207.339000; 2.954700 
2209.340000; 2.391500 
2211.322000; 3.308900 
2213.264000; 2.377200 
2215.240000; 3.115300 
2224.296000; 0.370800 
2232.139000; 1.459800 
2234.139000; 1.190300 
2236.129000; 1.237600 
2241.422000; 0.840500 
2243.233000; 0.864700 
2244.975000; 0.819600 
2248.960000; 1.429000 
2250.935000; 1.155100 
2254.809000; 1.745800 
2256.808000; 1.459800 
2262.654000; 2.857900 
2264.522000; 0.957100 
2266.421000; 1.272800 
2270.344000; 0.628200 
2276.217000; 1.173800 
2280.122000; 0.865800 
2282.101000; 0.909800 
2284.036000; 0.712900 
2290.473000; 1.216700 
2296.184000; 0.824000 
2297.828000; 0.853700 
2300.456000; 0.672200 
2307.504000; 3.619100 
2309.505000; 3.303400 
2311.506000; 3.611400 
2319.320000; 0.794300 
2325.168000; 2.752300 
2328.323000; 1.728200 
2332.242000; 3.180200 
2335.748000; 1.205700 
2336.319000; 1.634700 
2338.320000; 1.030800 
2340.309000; 1.342100 
2345.783000; 0.722800 
2347.784000; 0.846000 
2351.726000; 0.528100 
2356.046000; 1.256300 
2363.880000; 0.452200 
2367.822000; 0.859200 
2369.852000; -0.537800 
2373.721000; 0.461000 
2375.596000; 0.104600 
2381.236000; 2.884300 
2384.151000; 0.593000 
2386.052000; 1.030800 
2387.663000; 0.590800 
2389.539000; 1.168300 
2391.445000; 0.990100 
2395.319000; 1.264000 
2397.158000; 0.627100 
2399.750000; 3.087800 
2401.727000; 0.467600 
2403.676000; 1.819500 
2405.622000; 0.742600 
2407.512000; 0.747000 
2409.403000; 0.686500 
2414.884000; 1.492800 
2416.885000; 0.984600 
2418.886000; 1.288200 
2420.820000; 1.000000 
2424.790000; 1.642400 
2426.772000; 1.009900 
2429.079000; 3.657600 
2431.082000; 2.930500 
2433.004000; 3.229700 
2434.994000; 2.400300 
2436.994000; 2.892000 
2440.776000; 2.513600 
2444.609000; 2.892000 
2450.586000; 0.716200 
2452.566000; 1.137500 
2454.566000; 0.885600 
2458.082000; 3.780800 
2464.035000; 0.964800 
2466.027000; 1.622600 
2468.027000; 0.539100 
2473.320000; 3.940300 
2475.321000; 3.679600 
2477.322000; 4.070100 
2489.404000; 0.182700 
2490.530000; 1.047300 
2492.531000; 0.758000 
2496.402000; 2.722600 
2498.365000; 1.347600 
2500.211000; 2.315600 
2502.210000; 2.048300 
2505.936000; 4.881900 
2508.909000; -0.284800 
2512.911000; 1.730400 
2514.912000; 0.870200 
2517.029000; 2.816100 
2519.030000; 2.565300 
2522.956000; 3.885300 
2534.449000; 0.203600 
2535.878000; 0.357600 
2537.527000; 0.341100 
2543.193000; 0.019900 
2549.196000; 2.412400 
2553.196000; 0.917500 
2555.196000; 1.987800 
2557.807000; 0.959300 
2559.884000; 4.326400 
2563.884000; 1.573100 
2567.691000; 4.480400 
2568.499000; 3.654300 
2572.500000; 4.238400 
2574.490000; 3.302300 
2576.315000; 3.709300 
2578.136000; 3.477200 
2580.138000; 4.100900 
2584.140000; 1.944900 
2586.141000; 2.177000 
2588.142000; 0.813000 
2592.144000; 4.545300 
2600.148000; 1.843700 
2602.149000; 2.161600 
2610.155000; 1.053900 
2614.157000; 1.766700 
2616.158000; 1.478500 
2618.159000; 2.302400 
2622.161000; 1.718300 
2623.951000; 1.997700 
2624.436000; 1.722700 
2628.390000; 3.576200 
2630.963000; 0.767900 
2634.965000; 2.993200 
2636.966000; 0.792100 
2638.967000; 1.138600 
2640.968000; 0.895500 
2644.661000; 1.864600 
